epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1092.78,0.69923,0.95241,1.00668,0.96422,0.99496,0.97509,0.92434,0.33175,0.2235,0.81074,0.00333228,0.00333228,0.00333228
2,2136.8,0.50741,0.46687,0.90576,0.96478,0.99314,0.96739,0.93597,0.27949,0.20684,0.79396,0.00653363,0.00653363,0.00653363
3,3157.52,0.49021,0.44735,0.90124,0.96396,0.99481,0.96912,0.93789,0.27671,0.20425,0.78943,0.00960299,0.00960299,0.00960299
4,4178.55,0.44953,0.41334,0.88677,0.99212,0.99295,0.99275,0.98061,0.20823,0.14658,0.76853,0.009406,0.009406,0.009406
5,5199.7,0.38634,0.33657,0.86425,0.99914,0.99917,0.99497,0.98866,0.17493,0.11522,0.7581,0.009208,0.009208,0.009208
6,6219.83,0.35131,0.30469,0.85312,0.99968,0.99958,0.99499,0.99155,0.15489,0.10586,0.75284,0.00901,0.00901,0.00901
7,7240.2,0.32546,0.28208,0.84403,0.9998,0.99974,0.99499,0.99293,0.13671,0.09403,0.74739,0.008812,0.008812,0.008812
8,8260.94,0.30702,0.26757,0.83886,0.99986,0.9998,0.99499,0.99346,0.12479,0.08738,0.74461,0.008614,0.008614,0.008614
9,9281.74,0.29256,0.25558,0.83446,0.99986,0.99984,0.99499,0.99369,0.11989,0.08366,0.74312,0.008416,0.008416,0.008416
10,10302.4,0.28367,0.24907,0.83256,0.99986,0.99984,0.99499,0.99395,0.1135,0.08044,0.7416,0.008218,0.008218,0.008218
11,11323.3,0.27344,0.24121,0.8289,0.99987,0.99985,0.995,0.99413,0.11033,0.07789,0.74129,0.00802,0.00802,0.00802
12,12343.8,0.26472,0.2338,0.82649,0.99991,0.99984,0.995,0.99418,0.10816,0.07452,0.74076,0.007822,0.007822,0.007822
13,13364.4,0.25727,0.22918,0.82473,0.9999,0.99986,0.99499,0.99424,inf,0.07265,0.74003,0.007624,0.007624,0.007624
14,14385.3,0.25202,0.22488,0.82322,0.99989,0.99989,0.995,0.99427,inf,0.07116,0.73958,0.007426,0.007426,0.007426
15,15405.6,0.24697,0.22035,0.82147,0.9999,0.99986,0.995,0.99433,0.10043,0.06993,0.73921,0.007228,0.007228,0.007228
16,16426.2,0.24377,0.21867,0.82123,0.9999,0.99988,0.995,0.99437,0.0994,0.06943,0.73893,0.00703,0.00703,0.00703
17,17446.3,0.23671,0.21316,0.81922,0.99991,0.99988,0.995,0.99438,0.09828,0.06867,0.7387,0.006832,0.006832,0.006832
18,18466.9,0.23296,0.20955,0.81798,0.9999,0.99988,0.995,0.99439,0.09761,0.06802,0.7385,0.006634,0.006634,0.006634
19,19486.8,0.22911,0.20786,0.81721,0.99989,0.9999,0.995,0.99443,0.09697,0.0675,0.73835,0.006436,0.006436,0.006436
20,20507.9,0.22546,0.20452,0.8166,0.9999,0.9999,0.995,0.99446,0.09642,0.06693,0.7382,0.006238,0.006238,0.006238
21,21528.1,0.22192,0.20186,0.81588,0.99991,0.9999,0.995,0.99446,0.09621,0.0664,0.73808,0.00604,0.00604,0.00604
22,22548.9,0.21885,0.19913,0.81462,0.99992,0.9999,0.995,0.99446,inf,0.06584,0.73786,0.005842,0.005842,0.005842
23,23569.7,0.21566,0.19626,0.8145,0.99994,0.9999,0.995,0.99449,0.09482,0.06559,0.73772,0.005644,0.005644,0.005644
24,24590.4,0.21167,0.19467,0.81334,0.99994,0.99991,0.995,0.99452,0.09402,0.06515,0.73751,0.005446,0.005446,0.005446
25,25611.3,0.20881,0.19075,0.81244,0.99994,0.9999,0.995,0.99453,0.09325,0.0646,0.73737,0.005248,0.005248,0.005248
26,26632.2,0.20386,0.18751,0.81156,0.99994,0.99991,0.995,0.99456,inf,0.06394,0.73718,0.00505,0.00505,0.00505
27,27653,0.20157,0.18395,0.81027,0.99994,0.99991,0.995,0.99458,0.08977,0.06292,0.7369,0.004852,0.004852,0.004852
28,28673.7,0.19911,0.18355,0.81004,0.99994,0.99991,0.995,0.99461,inf,0.06226,0.73668,0.004654,0.004654,0.004654
29,29695.2,0.19635,0.1805,0.80957,0.99993,0.99992,0.995,0.99464,inf,0.0614,0.73644,0.004456,0.004456,0.004456
30,30716.4,0.19479,0.17959,0.80882,0.99993,0.99992,0.995,0.99465,inf,0.06095,0.73626,0.004258,0.004258,0.004258
31,31737.7,0.19284,0.178,0.80827,0.99994,0.99993,0.995,0.99468,inf,0.06058,0.73606,0.00406,0.00406,0.00406
32,32759.1,0.18753,0.17426,0.80712,0.99994,0.99992,0.995,0.9947,0.08427,0.0605,0.73591,0.003862,0.003862,0.003862
33,33780.3,0.18425,0.17229,0.80678,0.99994,0.99992,0.995,0.99472,0.08369,0.06093,0.73578,0.003664,0.003664,0.003664
34,34801.1,0.18351,0.17042,0.80673,0.99995,0.99992,0.995,0.99472,0.08221,0.06006,0.73559,0.003466,0.003466,0.003466
35,35822.3,0.17936,0.16721,0.80551,0.99995,0.99992,0.995,0.99474,inf,0.05923,0.73534,0.003268,0.003268,0.003268
36,36843.2,0.17763,0.16515,0.80539,0.99995,0.99993,0.995,0.99475,inf,0.05851,0.73514,0.00307,0.00307,0.00307
37,37865,0.17242,0.16151,0.80447,0.99994,0.99993,0.995,0.99475,inf,0.05779,0.73498,0.002872,0.002872,0.002872
38,38886.6,0.16889,0.15904,0.80332,0.99994,0.99993,0.995,0.99475,inf,0.05682,0.73484,0.002674,0.002674,0.002674
39,39907.6,0.16477,0.15495,0.8025,0.99995,0.99993,0.995,0.99478,inf,0.05618,0.73467,0.002476,0.002476,0.002476
40,40928.6,0.16056,0.15187,0.80168,0.99995,0.99994,0.995,0.99479,inf,0.05561,0.7345,0.002278,0.002278,0.002278
41,41950.2,0.12398,0.09542,0.77066,0.99995,0.99995,0.995,0.9948,inf,0.05551,0.73434,0.00208,0.00208,0.00208
42,42969.1,0.12043,0.09394,0.7697,0.99995,0.99995,0.995,0.9948,inf,0.05506,0.73414,0.001882,0.001882,0.001882
43,43987.8,0.11488,0.08976,0.76839,0.99995,0.99995,0.995,0.99481,inf,0.05489,0.73393,0.001684,0.001684,0.001684
44,45007.2,0.11126,0.08704,0.76718,0.99995,0.99995,0.995,0.99482,inf,0.05441,0.73371,0.001486,0.001486,0.001486
45,46026.2,0.10856,0.08501,0.76764,0.99995,0.99995,0.995,0.99483,inf,0.05418,0.73352,0.001288,0.001288,0.001288
46,47044.8,0.10273,0.08132,0.76627,0.99995,0.99995,0.995,0.99483,inf,0.05391,0.73332,0.00109,0.00109,0.00109
47,48063.3,0.09809,0.07734,0.76594,0.99996,0.99995,0.995,0.99485,inf,0.05325,0.73314,0.000892,0.000892,0.000892
48,49081.8,0.0941,0.07507,0.76542,0.99996,0.99995,0.995,0.99486,inf,0.05287,0.73294,0.000694,0.000694,0.000694
49,50100.1,0.08901,0.07091,0.76354,0.99996,0.99994,0.995,0.99486,inf,0.05213,0.73275,0.000496,0.000496,0.000496
50,51119,0.08527,0.06804,0.7639,0.99995,0.99994,0.995,0.99487,inf,0.05152,0.73257,0.000298,0.000298,0.000298
